id,latest_ep,name,genre,status,score,review,publish_year,duration,link
4130,11/??,Madougushi Dahliya wa Utsumukanai,Dị giới,Đang tiến hành,7.1,32,2024,?? Tập,https://animehay.biz/thong-tin-phim/madougushi-dahliya-wa-utsumukanai-4130.html
4129,9/??,Monogatari Series: Off & Monster Season,Anime,Đang tiến hành,7.7,28,2024,?? Tập,https://animehay.biz/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4129,9/??,Monogatari Series: Off & Monster Season,Hài hước,Đang tiến hành,7.7,28,2024,?? Tập,https://animehay.biz/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4129,9/??,Monogatari Series: Off & Monster Season,Bí ẩn,Đang tiến hành,7.7,28,2024,?? Tập,https://animehay.biz/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4129,9/??,Monogatari Series: Off & Monster Season,Siêu nhiên,Đang tiến hành,7.7,28,2024,?? Tập,https://animehay.biz/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4129,9/??,Monogatari Series: Off & Monster Season,Ma cà rồng,Đang tiến hành,7.7,28,2024,?? Tập,https://animehay.biz/thong-tin-phim/monogatari-series-off-monster-season-4129.html
4127,10/??,Ramen Akaneko,Anime,Đang tiến hành,7.0,12,2024,?? Tập,https://animehay.biz/thong-tin-phim/ramen-akaneko-4127.html
4127,10/??,Ramen Akaneko,Hài hước,Đang tiến hành,7.0,12,2024,?? Tập,https://animehay.biz/thong-tin-phim/ramen-akaneko-4127.html
4127,10/??,Ramen Akaneko,Shounen,Đang tiến hành,7.0,12,2024,?? Tập,https://animehay.biz/thong-tin-phim/ramen-akaneko-4127.html
4054,23/??,The Fable,Anime,Đang tiến hành,6.8,35,2024,?? Tập,https://animehay.biz/thong-tin-phim/the-fable-4054.html
4054,23/??,The Fable,Hài hước,Đang tiến hành,6.8,35,2024,?? Tập,https://animehay.biz/thong-tin-phim/the-fable-4054.html
4054,23/??,The Fable,Seinen,Đang tiến hành,6.8,35,2024,?? Tập,https://animehay.biz/thong-tin-phim/the-fable-4054.html
4108,11/??,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,Anime,Đang tiến hành,6.5,47,2024,?? Tập,https://animehay.biz/thong-tin-phim/vtuber-legend-how-i-went-viral-after-forgetting-to-turn-off-my-stream-4108.html
4108,11/??,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,Hài hước,Đang tiến hành,6.5,47,2024,?? Tập,https://animehay.biz/thong-tin-phim/vtuber-legend-how-i-went-viral-after-forgetting-to-turn-off-my-stream-4108.html
4108,11/??,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,Tình cảm,Đang tiến hành,6.5,47,2024,?? Tập,https://animehay.biz/thong-tin-phim/vtuber-legend-how-i-went-viral-after-forgetting-to-turn-off-my-stream-4108.html
4108,11/??,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,Giả tưởng,Đang tiến hành,6.5,47,2024,?? Tập,https://animehay.biz/thong-tin-phim/vtuber-legend-how-i-went-viral-after-forgetting-to-turn-off-my-stream-4108.html
4108,11/??,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,Đời thường,Đang tiến hành,6.5,47,2024,?? Tập,https://animehay.biz/thong-tin-phim/vtuber-legend-how-i-went-viral-after-forgetting-to-turn-off-my-stream-4108.html
4109,12/??,Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,Anime,Đang tiến hành,7.3,99,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-yururi-kikou-kosodate-shinagara-boukensha-shimasu-4109.html
4109,12/??,Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,Hành động,Đang tiến hành,7.3,99,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-yururi-kikou-kosodate-shinagara-boukensha-shimasu-4109.html
4109,12/??,Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,Hài hước,Đang tiến hành,7.3,99,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-yururi-kikou-kosodate-shinagara-boukensha-shimasu-4109.html
4109,12/??,Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,Phiêu lưu,Đang tiến hành,7.3,99,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-yururi-kikou-kosodate-shinagara-boukensha-shimasu-4109.html
4109,12/??,Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,Dị giới,Đang tiến hành,7.3,99,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-yururi-kikou-kosodate-shinagara-boukensha-shimasu-4109.html
4107,10/??,Wistoria: Wand and Sword,Anime,Đang tiến hành,8.6,242,2024,?? Tập,https://animehay.biz/thong-tin-phim/wistoria-wand-and-sword-4107.html
4107,10/??,Wistoria: Wand and Sword,Hành động,Đang tiến hành,8.6,242,2024,?? Tập,https://animehay.biz/thong-tin-phim/wistoria-wand-and-sword-4107.html
4107,10/??,Wistoria: Wand and Sword,Học đường,Đang tiến hành,8.6,242,2024,?? Tập,https://animehay.biz/thong-tin-phim/wistoria-wand-and-sword-4107.html
4107,10/??,Wistoria: Wand and Sword,Siêu nhiên,Đang tiến hành,8.6,242,2024,?? Tập,https://animehay.biz/thong-tin-phim/wistoria-wand-and-sword-4107.html
4107,10/??,Wistoria: Wand and Sword,Phiêu lưu,Đang tiến hành,8.6,242,2024,?? Tập,https://animehay.biz/thong-tin-phim/wistoria-wand-and-sword-4107.html
4103,11/??,Fairy Tail: 100 Years Quest,Anime,Đang tiến hành,9.4,220,2024,?? Tập,https://animehay.biz/thong-tin-phim/fairy-tail-100-years-quest-4103.html
