id,name,genre,status,score,review,publish_year,duration,link
4025,Kiddy Girl-And,Anime,Hoàn thành,6.5,22,2009,24 Tập,https://animehay.in/thong-tin-phim/kiddy-girl-and-2163.html
4025,Kiddy Girl-And,Hành động,Hoàn thành,6.5,22,2009,24 Tập,https://animehay.in/thong-tin-phim/kiddy-girl-and-2163.html
4025,Kiddy Girl-And,Hài hước,Hoàn thành,6.5,22,2009,24 Tập,https://animehay.in/thong-tin-phim/kiddy-girl-and-2163.html
4025,Kiddy Girl-And,Viễn tưởng,Hoàn thành,6.5,22,2009,24 Tập,https://animehay.in/thong-tin-phim/kiddy-girl-and-2163.html
4025,Kiddy Girl-And,Ecchi,Hoàn thành,6.5,22,2009,24 Tập,https://animehay.in/thong-tin-phim/kiddy-girl-and-2163.html
4025,Kiddy Girl-And,Mecha,Hoàn thành,6.5,22,2009,24 Tập,https://animehay.in/thong-tin-phim/kiddy-girl-and-2163.html
4025,Kiddy Grade,Anime,Hoàn thành,5.8,25,2002,24 Tập,https://animehay.in/thong-tin-phim/kiddy-grade-2162.html
4025,Kiddy Grade,Hành động,Hoàn thành,5.8,25,2002,24 Tập,https://animehay.in/thong-tin-phim/kiddy-grade-2162.html
4025,Kiddy Grade,Viễn tưởng,Hoàn thành,5.8,25,2002,24 Tập,https://animehay.in/thong-tin-phim/kiddy-grade-2162.html
4025,Kiddy Grade,Ecchi,Hoàn thành,5.8,25,2002,24 Tập,https://animehay.in/thong-tin-phim/kiddy-grade-2162.html
4025,Kiddy Grade,Mecha,Hoàn thành,5.8,25,2002,24 Tập,https://animehay.in/thong-tin-phim/kiddy-grade-2162.html
4025,Hyakko,Hài hước,Hoàn thành,8.5,14,2008,13 Tập,https://animehay.in/thong-tin-phim/hyakko-1356.html
4025,Hyakko,Học đường,Hoàn thành,8.5,14,2008,13 Tập,https://animehay.in/thong-tin-phim/hyakko-1356.html
4025,Hyakko,Đời thường,Hoàn thành,8.5,14,2008,13 Tập,https://animehay.in/thong-tin-phim/hyakko-1356.html
4025,Kaitou Saint Tail,Anime,Hoàn thành,9.0,16,1995,43 Tập,https://animehay.in/thong-tin-phim/kaitou-saint-tail-2161.html
4025,Kaitou Saint Tail,Tình cảm,Hoàn thành,9.0,16,1995,43 Tập,https://animehay.in/thong-tin-phim/kaitou-saint-tail-2161.html
4025,Kaitou Saint Tail,Phiêu lưu,Hoàn thành,9.0,16,1995,43 Tập,https://animehay.in/thong-tin-phim/kaitou-saint-tail-2161.html
4025,Kaitou Saint Tail,Shoujo,Hoàn thành,9.0,16,1995,43 Tập,https://animehay.in/thong-tin-phim/kaitou-saint-tail-2161.html
4025,Kaitou Saint Tail,Thể thao,Hoàn thành,9.0,16,1995,43 Tập,https://animehay.in/thong-tin-phim/kaitou-saint-tail-2161.html
4025,Victorian Romance Emma Second Act,Anime,Hoàn thành,9.5,16,2007,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-second-act-2160.html
4025,Victorian Romance Emma Second Act,Tình cảm,Hoàn thành,9.5,16,2007,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-second-act-2160.html
4025,Victorian Romance Emma Second Act,Lịch sử,Hoàn thành,9.5,16,2007,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-second-act-2160.html
4025,Victorian Romance Emma Second Act,Đời thường,Hoàn thành,9.5,16,2007,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-second-act-2160.html
4025,Victorian Romance Emma Second Act,Drama,Hoàn thành,9.5,16,2007,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-second-act-2160.html
4025,Victorian Romance Emma Second Act,Seinen,Hoàn thành,9.5,16,2007,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-second-act-2160.html
4025,Victorian Romance Emma,Anime,Hoàn thành,8.7,26,2005,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-2159.html
4025,Victorian Romance Emma,Tình cảm,Hoàn thành,8.7,26,2005,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-2159.html
4025,Victorian Romance Emma,Lịch sử,Hoàn thành,8.7,26,2005,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-2159.html
4025,Victorian Romance Emma,Đời thường,Hoàn thành,8.7,26,2005,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-2159.html
4025,Victorian Romance Emma,Drama,Hoàn thành,8.7,26,2005,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-2159.html
4025,Victorian Romance Emma,Seinen,Hoàn thành,8.7,26,2005,12 Tập,https://animehay.in/thong-tin-phim/victorian-romance-emma-2159.html
4025,Fairy Tail OVA (2016),Anime,Hoàn thành,9.4,71,2016,3 Tập,https://animehay.in/thong-tin-phim/fairy-tail-ova-2016-2158.html
4025,Fairy Tail OVA (2016),Hài hước,Hoàn thành,9.4,71,2016,3 Tập,https://animehay.in/thong-tin-phim/fairy-tail-ova-2016-2158.html
